sample_number,sample_id,class
Sample_0101,Garfield Lake,Natural stand
Sample_0102,Garfield Lake,Natural stand
Sample_0103,Garfield Lake,Natural stand
Sample_0104,Garfield Lake,Natural stand
Sample_0113,Garfield Lake,Natural stand
Sample_0114,Garfield Lake,Natural stand
Sample_0115,Garfield Lake,Natural stand
Sample_0116,Garfield Lake,Natural stand
Sample_0125,Garfield Lake,Natural stand
Sample_0126,Garfield Lake,Natural stand
Sample_0127,Garfield Lake,Natural stand
Sample_0128,Garfield Lake,Natural stand
Sample_0137,Garfield Lake,Natural stand
Sample_0138,Garfield Lake,Natural stand
Sample_0139,Garfield Lake,Natural stand
Sample_0140,Garfield Lake,Natural stand
Sample_0148,Garfield Lake,Natural stand
Sample_0149,Garfield Lake,Natural stand
Sample_0150,Garfield Lake,Natural stand
Sample_0151,Garfield Lake,Natural stand
Sample_0159,Garfield Lake,Natural stand
Sample_0160,Garfield Lake,Natural stand
Sample_0161,Garfield Lake,Natural stand
Sample_0162,Garfield Lake,Natural stand
Sample_0169,Garfield Lake,Natural stand
Sample_0170,Garfield Lake,Natural stand
Sample_0171,Garfield Lake,Natural stand
Sample_0172,Garfield Lake,Natural stand
Sample_0173,Garfield Lake,Natural stand
Sample_0180,Garfield Lake,Natural stand
Sample_0181,Garfield Lake,Natural stand
Sample_0182,Garfield Lake,Natural stand
Sample_0183,Garfield Lake,Natural stand
Sample_0184,Garfield Lake,Natural stand
Sample_0185,Garfield Lake,Natural stand
Sample_0186,Garfield Lake,Natural stand
Sample_0196,Garfield Lake,Natural stand
Sample_0197,Garfield Lake,Natural stand
Sample_0207,Garfield Lake,Natural stand
Sample_0208,Garfield Lake,Natural stand
Sample_0218,Garfield Lake,Natural stand
Sample_0219,Garfield Lake,Natural stand
Sample_0229,Garfield Lake,Natural stand
Sample_0230,Garfield Lake,Natural stand
Sample_0241,Garfield Lake,Natural stand
Sample_0242,Garfield Lake,Natural stand
Sample_0253,Garfield Lake,Natural stand
Sample_0254,Garfield Lake,Natural stand
Sample_0265,Garfield Lake,Natural stand
Sample_0266,Garfield Lake,Natural stand
Sample_0373,Shell Lake,Natural stand
Sample_0374,Shell Lake,Natural stand
Sample_0375,Shell Lake,Natural stand
Sample_0376,Shell Lake,Natural stand
Sample_0377,Shell Lake,Natural stand
Sample_0378,Shell Lake,Natural stand
Sample_0379,Garfield Lake Old,Natural stand
Sample_0384,Shell Lake,Natural stand
Sample_0385,Shell Lake,Natural stand
Sample_0386,Shell Lake,Natural stand
Sample_0387,Shell Lake,Natural stand
Sample_0388,Shell Lake,Natural stand
Sample_0389,Shell Lake,Natural stand
Sample_0390,Garfield Lake Old,Natural stand
Sample_0395,Shell Lake,Natural stand
Sample_0396,Shell Lake,Natural stand
Sample_0397,Shell Lake,Natural stand
Sample_0398,Shell Lake,Natural stand
Sample_0399,Shell Lake,Natural stand
Sample_0400,Shell Lake,Natural stand
Sample_0401,Garfield Lake Old,Natural stand
Sample_0406,Shell Lake,Natural stand
Sample_0407,Shell Lake,Natural stand
Sample_0408,Shell Lake,Natural stand
Sample_0409,Shell Lake,Natural stand
Sample_0410,Shell Lake,Natural stand
Sample_0411,Shell Lake,Natural stand
Sample_0412,Garfield Lake Old,Natural stand
Sample_0417,Shell Lake,Natural stand
Sample_0418,Shell Lake,Natural stand
Sample_0419,Shell Lake,Natural stand
Sample_0420,Shell Lake,Natural stand
Sample_0421,Shell Lake,Natural stand
Sample_0422,Shell Lake,Natural stand
Sample_0423,Shell Lake,Natural stand
Sample_0424,Garfield Lake Old,Natural stand
Sample_0429,Shell Lake,Natural stand
Sample_0430,Shell Lake,Natural stand
Sample_0431,Shell Lake,Natural stand
Sample_0432,Shell Lake,Natural stand
Sample_0433,Shell Lake,Natural stand
Sample_0434,Shell Lake,Natural stand
Sample_0435,Shell Lake,Natural stand
Sample_0436,Garfield Lake Old,Natural stand
Sample_0441,Shell Lake,Natural stand
Sample_0442,Shell Lake,Natural stand
Sample_0443,Shell Lake,Natural stand
Sample_0444,Shell Lake,Natural stand
Sample_0445,Shell Lake,Natural stand
Sample_0446,Shell Lake,Natural stand
Sample_0447,Garfield Lake Old,Natural stand
Sample_0448,Garfield Lake Old,Natural stand
Sample_0453,Shell Lake,Natural stand
Sample_0454,Shell Lake,Natural stand
Sample_0455,Shell Lake,Natural stand
Sample_0456,Shell Lake,Natural stand
Sample_0457,Shell Lake,Natural stand
Sample_0458,Shell Lake,Natural stand
Sample_0459,Garfield Lake Old,Natural stand
Sample_0460,Garfield Lake Old,Natural stand
Sample_0461,Garfield Lake Old,Natural stand
Sample_0462,Garfield Lake Old,Natural stand
Sample_0463,Garfield Lake Old,Natural stand
Sample_0464,Garfield Lake Old,Natural stand
Sample_0465,Garfield Lake Old,Natural stand
Sample_0466,Garfield Lake Old,Natural stand
Sample_0467,Shell Lake Old,Natural stand
Sample_0468,Shell Lake Old,Natural stand
Sample_0469,Shell Lake Old,Natural stand
Sample_0470,Shell Lake Old,Natural stand
Sample_0471,Shell Lake Old,Natural stand
Sample_0472,Shell Lake Old,Natural stand
Sample_0473,Garfield Lake Old,Natural stand
Sample_0474,Garfield Lake Old,Natural stand
Sample_0475,Garfield Lake Old,Natural stand
Sample_0476,Garfield Lake Old,Natural stand
Sample_0477,Garfield Lake Old,Natural stand
Sample_0478,Garfield Lake Old,Natural stand
Sample_0479,Shell Lake Old,Natural stand
Sample_0480,Shell Lake Old,Natural stand
Sample_0481,Shell Lake Old,Natural stand
Sample_0482,Shell Lake Old,Natural stand
Sample_0483,Shell Lake Old,Natural stand
Sample_0484,Shell Lake Old,Natural stand
Sample_0485,Garfield Lake Old,Natural stand
Sample_0486,Garfield Lake Old,Natural stand
Sample_0487,Garfield Lake Old,Natural stand
Sample_0488,Garfield Lake Old,Natural stand
Sample_0489,Garfield Lake Old,Natural stand
Sample_0490,Garfield Lake Old,Natural stand
Sample_0491,Shell Lake Old,Natural stand
Sample_0492,Shell Lake Old,Natural stand
Sample_0493,Shell Lake Old,Natural stand
Sample_0494,Shell Lake Old,Natural stand
Sample_0495,Shell Lake Old,Natural stand
Sample_0496,Shell Lake Old,Natural stand
Sample_0497,Garfield Lake Old,Natural stand
Sample_0498,Garfield Lake Old,Natural stand
Sample_0499,Garfield Lake Old,Natural stand
Sample_0500,Garfield Lake Old,Natural stand
Sample_0501,Garfield Lake Old,Natural stand
Sample_0502,Garfield Lake Old,Natural stand
Sample_0503,Shell Lake Old,Natural stand
Sample_0504,Shell Lake Old,Natural stand
Sample_0505,Shell Lake Old,Natural stand
Sample_0506,Shell Lake Old,Natural stand
Sample_0507,Shell Lake Old,Natural stand
Sample_0508,Shell Lake Old,Natural stand
Sample_0509,Garfield Lake Old,Natural stand
Sample_0510,Garfield Lake Old,Natural stand
Sample_0511,Garfield Lake Old,Natural stand
Sample_0512,Garfield Lake Old,Natural stand
Sample_0513,Shell Lake Old,Natural stand
Sample_0514,Shell Lake Old,Natural stand
Sample_0515,Shell Lake Old,Natural stand
Sample_0516,Shell Lake Old,Natural stand
Sample_0517,Shell Lake Old,Natural stand
Sample_0518,Shell Lake Old,Natural stand
Sample_0519,Shell Lake Old,Natural stand
Sample_0520,Garfield Lake Old,Natural stand
Sample_0521,Garfield Lake Old,Natural stand
Sample_0522,Garfield Lake Old,Natural stand
Sample_0523,Garfield Lake Old,Natural stand
Sample_0524,Shell Lake Old,Natural stand
Sample_0525,Shell Lake Old,Natural stand
Sample_0526,Shell Lake Old,Natural stand
Sample_0527,Shell Lake Old,Natural stand
Sample_0528,Shell Lake Old,Natural stand
Sample_0529,Shell Lake Old,Natural stand
Sample_0530,Shell Lake Old,Natural stand
Sample_0531,Garfield Lake Old,Natural stand
Sample_0532,Garfield Lake Old,Natural stand
Sample_0533,Garfield Lake Old,Natural stand
Sample_0534,Garfield Lake Old,Natural stand
Sample_0535,Shell Lake Old,Natural stand
Sample_0536,Shell Lake Old,Natural stand
Sample_0537,Shell Lake Old,Natural stand
Sample_0538,Shell Lake Old,Natural stand
Sample_0539,Shell Lake Old,Natural stand
Sample_0540,Shell Lake Old,Natural stand
Sample_0541,Garfield Lake Old,Natural stand
Sample_0542,Garfield Lake Old,Natural stand
Sample_0543,Garfield Lake Old,Natural stand
Sample_0544,Garfield Lake Old,Natural stand
Sample_0545,Shell Lake Old,Natural stand
Sample_0546,Shell Lake Old,Natural stand
Sample_0547,Shell Lake Old,Natural stand
Sample_0548,Shell Lake Old,Natural stand
Sample_0549,Shell Lake Old,Natural stand
Sample_0550,Shell Lake Old,Natural stand
